Date : 2024-05-20 05:37:25
Directory : e:\Projects\Python\if1210-2024-tubes-k08-a
Total : 86 files,  10364 codes, 181 comments, 706 blanks, all 11251 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         68 |      8,436 |        179 |        637 |      9,252 |
| JSON             |          5 |      1,368 |          0 |          5 |      1,373 |
| JavaScript       |          9 |        504 |          2 |         34 |        540 |
| Markdown         |          3 |         54 |          0 |         29 |         83 |
| pip requirements |          1 |          2 |          0 |          1 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         86 |     10,364 |        181 |        706 |     11,251 |
| . (Files)                                                                             |          8 |        439 |          9 |         54 |        502 |
| data                                                                                  |         12 |      1,816 |          2 |         42 |      1,860 |
| data\assets                                                                           |          1 |         11 |          0 |         10 |         21 |
| data\generator                                                                        |         11 |      1,805 |          2 |         32 |      1,839 |
| data\generator\gamesave                                                               |          1 |         59 |          2 |          6 |         67 |
| data\generator\monsters                                                               |          6 |      1,031 |          0 |         19 |      1,050 |
| data\generator\worldmap                                                               |          4 |        715 |          0 |          7 |        722 |
| src                                                                                   |         57 |      7,703 |        156 |        554 |      8,413 |
| src (Files)                                                                           |          3 |        139 |         32 |         47 |        218 |
| src\game                                                                              |         36 |      4,048 |         66 |        257 |      4,371 |
| src\game (Files)                                                                      |          6 |        313 |          2 |         41 |        356 |
| src\game\arena                                                                        |          3 |        275 |          7 |         14 |        296 |
| src\game\battle                                                                       |          3 |        441 |         20 |         20 |        481 |
| src\game\database                                                                     |          2 |        153 |          0 |          9 |        162 |
| src\game\inventory                                                                    |          3 |        192 |          1 |         25 |        218 |
| src\game\laboratory                                                                   |          2 |          0 |          0 |          3 |          3 |
| src\game\menu                                                                         |          6 |        860 |         13 |         49 |        922 |
| src\game\monster                                                                      |          2 |         34 |          0 |          6 |         40 |
| src\game\potion                                                                       |          2 |         70 |          0 |         14 |         84 |
| src\game\shop                                                                         |          2 |          0 |          0 |          3 |          3 |
| src\game\state                                                                        |          3 |      1,572 |          3 |         46 |      1,621 |
| src\game\user                                                                         |          2 |        138 |         20 |         27 |        185 |
| src\utils                                                                             |         18 |      3,516 |         58 |        250 |      3,824 |
| src\utils (Files)                                                                     |          2 |         39 |          0 |          5 |         44 |
| src\utils\codec                                                                       |          2 |         42 |          0 |          7 |         49 |
| src\utils\console                                                                     |          4 |      2,121 |         15 |         75 |      2,211 |
| src\utils\coroutines                                                                  |          2 |        580 |          1 |         58 |        639 |
| src\utils\csv                                                                         |          2 |         68 |         10 |          9 |         87 |
| src\utils\math                                                                        |          2 |        141 |         18 |         18 |        177 |
| src\utils\mixin                                                                       |          2 |         76 |          0 |          9 |         85 |
| src\utils\primordials                                                                 |          2 |        449 |         14 |         69 |        532 |
| test                                                                                  |          9 |        406 |         14 |         56 |        476 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                              | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| e:\Projects\Python\if1210-2024-tubes-k08-a\F012 - Shop Management.py                  | Python           |        264 |          1 |         32 |        297 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\F13 Monster Management.py                  | Python           |         47 |          1 |          7 |         55 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\README.md                                  | Markdown         |         10 |          0 |          6 |         16 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\assets\README.md                      | Markdown         |         11 |          0 |         10 |         21 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\gamesave\createnpc.mjs      | JavaScript       |         59 |          2 |          6 |         67 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\copyasciifiles.mjs | JavaScript       |         22 |          0 |          3 |         25 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\fetchmonsters.mjs  | JavaScript       |         90 |          0 |          7 |         97 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\fetchsprites.mjs   | JavaScript       |         40 |          0 |          3 |         43 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\generatesplash.mjs | JavaScript       |        158 |          0 |          4 |        162 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\package-lock.json  | JSON             |        708 |          0 |          1 |        709 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\package.json       | JSON             |         13 |          0 |          1 |         14 |
